#{"t_start": 1710705200.9266367, "env_id": "ALE/DonkeyKong-v5"}
r,l,t
100.0,641,16.255602
0.0,678,19.892804
200.0,648,23.413947
0.0,765,51.782981
100.0,705,55.539615
0.0,705,59.330877
100.0,713,63.052878
100.0,765,99.416544
100.0,781,103.742835
0.0,762,107.782293
