#{"t_start": 1710705200.428164, "env_id": "ALE/DonkeyKong-v5"}
r,l,t
100.0,705,17.19319
0.0,640,20.646373
200.0,1008,26.134779
0.0,809,54.709715
0.0,705,58.504768
100.0,751,62.454892
100.0,872,99.495792
0.0,691,103.405691
100.0,863,108.04133
0.0,692,111.728203
