#{"t_start": 1710705200.7150822, "env_id": "ALE/DonkeyKong-v5"}
r,l,t
100.0,738,17.137363
100.0,805,21.449027
100.0,740,25.383797
0.0,650,53.059267
100.0,704,56.782912
0.0,633,60.204972
0.0,732,64.154687
0.0,702,100.044362
100.0,802,104.483819
300.0,756,108.529067
